"entityName","detected_anomalies"
"{1AD72C}","12578"
"{1AD757}","28"
"{7F4F9}","13246"
"{AB008}","13992"
"{AB040}","25"
"{AB065}","13689"
"{AB123}","11607"
"{AB236}","7328"
"{AB354}","14440"
"{AB406}","10536"
"{AB417}","9733"
"{AB426}","11136"
"{AB451}","8383"
"{AB475}","13921"
"{AB563}","11988"
"{AB565}","815"
"{AB567}","12463"
"{AB569}","10450"
"{AB572}","27"
"{AB577}","13897"
"{AB578}","13315"
"{AB580}","13505"
"{AB582}","7689"
"{AC436}","16"
"{AD640}","26"
"{AD648}","27"
"{AD750}","845"
"{AF415}","1528"
"{AH149}","12323"
"{AH170}","14341"
"{AH171}","15154"
"{AH182}","13935"
"{AH183}","14081"
"{AH185}","13783"
"{AH187}","14418"
"{AH192}","14687"
"{AH193}","11918"
"{AH194}","9922"
"{AH196}","6152"
"{AH197}","13856"
"{AH211}","11686"
"{AH223}","13522"
"{AH228}","14048"
"{AH238}","14131"
"{AH239}","14198"
"{AH251}","14260"
"{AH252}","15058"
"{AH253}","13992"
"{AH258}","12784"
"{AH259}","11737"
"{AH260}","13252"
"{AH263}","13799"
"{AH266}","14826"
"{AH269}","13770"
"{AH273}","14606"
"{AH274}","13457"
"{AH275}","12768"
"{AH277}","11711"
"{AH282}","12003"
"{AH283}","12153"
"{AH286}","12313"
"{AH288}","11794"
"{AH289}","2865"
"{AH300}","14908"
"{AH301}","7356"
"{AH304}","1515"
"{AH306}","14799"
"{AH579}","3213"
"{AH605}","7176"
"{AI802}","14920"
"{AI803}","13424"
"{AI820}","13456"
"{AI840}","14767"
"{AI841}","14429"
"{AI899}","14219"
"{AJ667}","827"
