"entityName","time","activityAnomaly","distanceAnomaly","positionAnomaly","locationAnomaly","temperatureAnomaly","resourceAlarm"
"{1AD72C}","2021-07-28T04:54:44Z",True,False,False,False,False,False
"{1AD757}","2020-07-03T11:52:48Z",True,False,False,False,False,False
"{7F4F9}","2021-07-28T13:43:16Z",True,False,False,False,False,False
"{AB008}","2021-07-28T13:48:17Z",True,False,False,False,False,False
"{AB040}","2020-07-04T09:12:33Z",True,False,False,False,False,False
"{AB065}","2021-07-28T13:48:15Z",True,False,False,False,False,False
"{AB123}","2021-07-28T13:48:45Z",True,False,False,False,False,False
"{AB236}","2020-12-15T05:38:12Z",True,False,False,False,False,False
"{AB354}","2021-07-28T13:49:06Z",True,False,False,False,False,False
"{AB406}","2021-03-26T08:45:03Z",True,False,False,False,False,False
"{AB417}","2021-03-26T08:50:09Z",True,False,False,False,False,False
"{AB426}","2021-07-28T13:45:42Z",True,False,False,False,False,False
"{AB451}","2021-02-19T19:17:04Z",True,False,False,False,False,False
"{AB475}","2021-07-28T14:28:16Z",True,False,False,False,False,False
"{AB563}","2021-06-03T06:22:11Z",True,False,False,False,False,False
"{AB565}","2020-09-07T10:28:46Z",True,False,False,False,False,False
"{AB567}","2021-07-28T13:47:57Z",True,False,False,False,False,False
"{AB569}","2021-09-18T14:55:29Z",True,False,False,False,False,False
"{AB572}","2020-07-04T09:23:28Z",True,False,False,False,False,False
"{AB577}","2021-07-28T13:54:48Z",True,False,False,False,False,False
"{AB578}","2021-06-09T00:00:48Z",True,False,False,False,False,False
"{AB580}","2021-07-28T13:38:40Z",True,False,False,False,False,False
"{AB582}","2020-12-12T06:26:46Z",True,False,False,False,False,False
"{AC436}","2020-12-29T04:26:54Z",True,False,False,False,False,False
"{AD640}","2020-07-04T09:17:00Z",True,False,False,False,False,False
"{AD648}","2020-07-04T11:04:36Z",True,False,False,False,False,False
"{AD750}","2020-09-07T10:21:29Z",True,False,False,False,False,False
"{AF415}","2020-09-12T04:58:59Z",True,False,False,False,False,False
"{AH149}","2021-07-28T13:36:11Z",True,False,False,False,False,False
"{AH170}","2021-07-28T13:50:59Z",True,False,False,False,False,False
"{AH171}","2021-07-28T13:41:09Z",True,False,False,False,False,False
"{AH182}","2021-07-28T13:49:11Z",True,False,False,False,False,False
"{AH183}","2021-07-28T13:44:51Z",True,False,False,False,False,False
"{AH185}","2021-07-28T13:43:31Z",True,False,False,False,False,False
"{AH187}","2021-07-28T13:36:47Z",True,False,False,False,False,False
"{AH192}","2021-07-28T17:26:40Z",True,False,False,False,False,False
"{AH193}","2021-07-28T13:39:32Z",True,False,False,False,False,False
"{AH194}","2021-07-28T13:41:24Z",True,False,False,False,False,False
"{AH196}","2020-12-26T09:47:50Z",True,False,False,False,False,False
"{AH197}","2021-07-28T14:29:38Z",True,False,False,False,False,False
"{AH211}","2021-04-14T05:30:01Z",True,False,False,False,False,False
"{AH223}","2021-07-28T11:46:02Z",True,False,False,False,False,False
"{AH228}","2021-07-28T13:48:01Z",True,False,False,False,False,False
"{AH238}","2021-07-28T13:47:43Z",True,False,False,False,False,False
"{AH239}","2021-07-28T14:32:10Z",True,False,False,False,False,False
"{AH251}","2021-07-28T13:50:02Z",True,False,False,False,False,False
"{AH252}","2021-07-28T14:33:49Z",True,False,False,False,False,False
"{AH253}","2021-07-28T12:47:34Z",True,False,False,False,False,False
"{AH258}","2021-07-28T14:25:07Z",True,False,False,False,False,False
"{AH259}","2021-07-28T13:37:39Z",True,False,False,False,False,False
"{AH260}","2021-04-20T10:07:18Z",True,False,False,False,False,False
"{AH263}","2021-07-28T14:30:52Z",True,False,False,False,False,False
"{AH266}","2021-07-28T13:40:28Z",True,False,False,False,False,False
"{AH269}","2021-07-28T13:36:37Z",True,False,False,False,False,False
"{AH273}","2021-07-28T15:29:50Z",True,False,False,False,False,False
"{AH274}","2021-07-28T14:28:15Z",True,False,False,False,False,False
"{AH275}","2021-07-28T13:48:31Z",True,False,False,False,False,False
"{AH277}","2021-07-28T18:33:11Z",True,False,False,False,False,False
"{AH282}","2021-07-28T14:31:01Z",True,False,False,False,False,False
"{AH283}","2021-07-28T15:01:04Z",True,False,False,False,False,False
"{AH286}","2021-07-28T14:25:47Z",True,False,False,False,False,False
"{AH288}","2021-07-28T13:42:53Z",True,False,False,False,False,False
"{AH289}","2020-09-12T17:33:20Z",True,False,False,False,False,False
"{AH300}","2021-07-28T13:48:12Z",True,False,False,False,False,False
"{AH301}","2020-12-10T07:09:56Z",True,False,False,False,False,False
"{AH304}","2020-08-08T23:47:47Z",True,False,False,False,False,False
"{AH306}","2021-07-28T12:41:57Z",True,False,False,False,False,False
"{AH579}","2020-09-07T10:30:19Z",True,False,False,False,False,False
"{AH605}","2020-12-26T12:03:09Z",True,False,False,False,False,False
"{AI802}","2021-07-28T13:15:33Z",True,False,False,False,False,False
"{AI803}","2021-07-28T13:35:50Z",True,False,False,False,False,False
"{AI820}","2021-07-28T14:33:54Z",True,False,False,False,False,False
"{AI840}","2021-07-28T13:44:36Z",True,False,False,False,False,False
"{AI841}","2021-07-28T13:40:12Z",True,False,False,False,False,False
"{AI899}","2021-07-28T13:38:35Z",True,False,False,False,False,False
"{AJ667}","2020-06-13T10:57:38Z",True,False,False,False,False,False
