"entityName","time","latitude","longitude","altitude"
"{1AD72C}","2021-07-28T04:54:44Z","40.702006561","-4.540474556","2.10789"
"{1AD757}","2020-07-03T11:52:48Z","40.673411154","-4.522758831","2.10789"
"{7F4F9}","2021-07-28T13:43:16Z","40.692011902","-4.538765545","2.10789"
"{AB008}","2021-07-28T13:48:17Z","40.691752499","-4.539024949","2.10789"
"{AB040}","2020-07-04T09:12:33Z","40.691920348","-4.538597696","2.10789"
"{AB065}","2021-07-28T13:48:15Z","40.694285496","-4.541329061","2.10789"
"{AB123}","2021-07-28T13:48:45Z","40.687479973","-4.544380865","2.10789"
"{AB236}","2020-12-15T05:38:12Z","40.701182574","-4.53962005","2.10789"
"{AB354}","2021-07-28T13:49:06Z","40.691935607","-4.538735027","2.10789"
"{AB406}","2021-03-26T08:45:03Z","40.453498131","-3.508400092","2.10789"
"{AB417}","2021-03-26T08:50:09Z","40.453528649","-3.50843061","2.10789"
"{AB426}","2021-07-28T13:45:42Z","40.689372091","-4.542854963","2.10789"
"{AB451}","2021-02-19T19:17:04Z","40.541268025","-3.892439155","2.10789"
"{AB475}","2021-07-28T14:28:16Z","40.695124743","-4.530769818","2.10789"
"{AB56}","2019-05-17T09:55:14Z","45.45123","25.25456","2.10789"
"{AB563}","2021-06-03T06:22:11Z","40.451514458","-3.506599527","2.10789"
"{AB565}","2020-09-07T10:28:46Z","40.69251545","-4.539269093","2.10789"
"{AB567}","2021-07-28T13:47:57Z","40.691966125","-4.539085985","2.10789"
"{AB569}","2021-09-18T14:55:29Z","40.691218433","-4.539147021","2.10789"
"{AB572}","2020-07-04T09:23:28Z","40.691844053","-4.53853666","2.10789"
"{AB577}","2021-07-28T13:54:48Z","40.689295796","-4.542580301","2.10789"
"{AB578}","2021-06-09T00:00:48Z","40.695918212","-4.540535592","2.10789"
"{AB580}","2021-07-28T13:38:40Z","40.691828794","-4.538673991","2.10789"
"{AB582}","2020-12-12T06:26:46Z","40.69095903","-4.540199893","2.10789"
"{AC436}","2020-12-29T04:26:54Z","40.453696498","-3.508705272","2.10789"
"{AD640}","2020-07-04T09:17:00Z","40.691859312","-4.538582437","2.10789"
"{AD648}","2020-07-04T11:04:36Z","40.631570916","-4.745784695","2.10789"
"{AD750}","2020-09-07T10:21:29Z","40.692179751","-4.538292515","2.10789"
"{AF415}","2020-09-12T04:58:59Z","40.693263142","-4.533714809","2.10789"
"{AH149}","2021-07-28T13:36:11Z","40.691676204","-4.538811322","2.10789"
"{AH170}","2021-07-28T13:50:59Z","40.690928511","-4.539131762","2.10789"
"{AH171}","2021-07-28T13:41:09Z","40.691798276","-4.538719768","2.10789"
"{AH182}","2021-07-28T13:49:11Z","40.69156939","-4.538750286","2.10789"
"{AH183}","2021-07-28T13:44:51Z","40.691203174","-4.539635309","2.10789"
"{AH185}","2021-07-28T13:43:31Z","40.691355764","-4.53899443","2.10789"
"{AH187}","2021-07-28T13:36:47Z","40.691615167","-4.538490883","2.10789"
"{AH192}","2021-07-28T17:26:40Z","40.698786908","-4.541786831","2.10789"
"{AH193}","2021-07-28T13:39:32Z","40.691142138","-4.538185702","2.10789"
"{AH194}","2021-07-28T13:41:24Z","40.691966125","-4.538490883","2.10789"
"{AH196}","2020-12-26T09:47:50Z","40.692118715","-4.538658732","2.10789"
"{AH197}","2021-07-28T14:29:38Z","40.691981384","-4.539101244","2.10789"
