"entityName","any_alarm_triggered"
"{1AD72C}",True
"{1AD757}",True
"{7F4F9}",True
"{AB008}",True
"{AB040}",True
"{AB065}",True
"{AB123}",True
"{AB236}",True
"{AB354}",True
"{AB406}",True
"{AB417}",True
"{AB426}",True
"{AB451}",True
"{AB475}",True
"{AB563}",True
"{AB565}",True
"{AB567}",True
"{AB569}",True
"{AB572}",True
"{AB577}",True
"{AB578}",True
"{AB580}",True
"{AB582}",True
"{AC436}",True
"{AD640}",True
"{AD648}",True
"{AD750}",True
"{AF415}",True
"{AH149}",True
"{AH170}",True
"{AH171}",True
"{AH182}",True
"{AH183}",True
"{AH185}",True
"{AH187}",True
"{AH192}",True
"{AH193}",True
"{AH194}",True
"{AH196}",True
"{AH197}",True
"{AH211}",True
"{AH223}",True
"{AH228}",True
"{AH238}",True
"{AH239}",True
"{AH251}",True
"{AH252}",True
"{AH253}",True
"{AH258}",True
"{AH259}",True
"{AH260}",True
"{AH263}",True
"{AH266}",True
"{AH269}",True
"{AH273}",True
"{AH274}",True
"{AH275}",True
"{AH277}",True
"{AH282}",True
"{AH283}",True
"{AH286}",True
"{AH288}",True
"{AH289}",True
"{AH300}",True
"{AH301}",True
"{AH304}",True
"{AH306}",True
"{AH579}",True
"{AH605}",True
"{AI802}",True
"{AI803}",True
"{AI820}",True
"{AI840}",True
"{AI841}",True
"{AI899}",True
"{AJ667}",True
