"entityName","time","temperature","prev_temperature","temp_drop"
"{1AD72C}","2020-06-13T18:45:40Z","28.91","34.127","5.217"
"{1AD72C}","2020-06-14T04:44:52Z","25.534","32.9","7.366"
"{1AD72C}","2020-06-15T23:13:35Z","23.693","29.524","5.831"
"{1AD72C}","2020-06-17T11:40:18Z","34.434","40.879","6.445"
"{1AD72C}","2020-06-17T22:10:26Z","24.306","31.979","7.673"
"{1AD72C}","2020-06-18T21:37:03Z","25.227","32.286","7.059"
"{1AD72C}","2020-06-20T23:02:39Z","21.544","30.444","8.900"
"{1AD72C}","2020-06-21T01:32:41Z","19.396","28.296","8.900"
"{1AD72C}","2020-06-21T03:02:17Z","18.475","23.693","5.218"
"{1AD72C}","2020-06-21T23:30:57Z","26.148","31.365","5.217"
"{1AD72C}","2020-06-25T17:52:13Z","30.751","38.424","7.673"
"{1AD72C}","2020-06-26T01:51:34Z","24.92","30.138","5.218"
"{1AD72C}","2020-06-26T04:21:15Z","24.613","29.831","5.218"
"{1AD72C}","2020-06-27T07:49:19Z","29.217","34.741","5.524"
"{1AD72C}","2020-06-28T20:16:04Z","29.217","34.434","5.217"
"{1AD72C}","2020-06-28T22:45:03Z","27.375","32.593","5.218"
"{1AD72C}","2020-06-29T15:14:32Z","33.513","40.265","6.752"
"{1AD72C}","2020-06-29T17:44:04Z","29.524","39.651","10.127"
"{1AD72C}","2020-06-30T03:12:40Z","23.386","31.365","7.979"
"{1AD72C}","2020-06-30T19:41:09Z","31.979","37.196","5.217"
"{1AD72C}","2020-07-01T03:10:37Z","24","30.138","6.138"
"{1AD72C}","2020-07-01T07:41:05Z","22.465","31.365","8.900"
"{1AD72C}","2020-07-02T02:40:21Z","22.772","27.989","5.217"
"{1AD72C}","2020-07-02T09:08:38Z","27.682","35.355","7.673"
"{1AD72C}","2020-07-02T15:37:39Z","31.058","37.81","6.752"
"{1AD72C}","2020-07-02T23:06:39Z","24.92","31.365","6.445"
"{1AD72C}","2020-07-03T04:08:09Z","20.01","25.227","5.217"
